Date & Time,Usage [kW]
1/21/2023 5:00,-0.017568056
1/21/2023 6:00,-0.017471944
1/21/2023 7:00,-0.010710278
1/21/2023 8:00,0.042985
1/21/2023 9:00,0.043841389
1/21/2023 10:00,0.414869167
1/21/2023 11:00,1.814597778
1/21/2023 12:00,1.777778611
1/21/2023 13:00,1.5028625
1/21/2023 14:00,0.5715475
1/21/2023 15:00,0.036606944
1/21/2023 16:00,0.014002778
1/21/2023 17:00,-0.016807222
1/21/2023 18:00,-0.016984167
1/21/2023 19:00,-0.017178333
1/21/2023 20:00,-0.017204167
1/21/2023 21:00,-0.017162778
1/21/2023 22:00,-0.017275
1/21/2023 23:00,-0.01734
1/22/2023 0:00,-0.017375278
1/22/2023 1:00,-0.017423611
1/22/2023 2:00,-0.017520833
1/22/2023 3:00,-0.017546111
1/22/2023 4:00,-0.017541667
1/22/2023 5:00,-0.017536111
1/22/2023 6:00,-0.017408333
1/22/2023 7:00,-0.004614167
1/22/2023 8:00,0.074024167
1/22/2023 9:00,0.465890833
1/22/2023 10:00,1.149819167
1/22/2023 11:00,1.640047778
1/22/2023 12:00,1.884451111
1/22/2023 13:00,1.7131475
1/22/2023 14:00,0.482865833
1/22/2023 15:00,0.040880278
1/22/2023 16:00,0.007567222
1/22/2023 17:00,-0.016893056
1/22/2023 18:00,-0.016926389
1/22/2023 19:00,-0.016985278
1/22/2023 20:00,-0.017026944
1/22/2023 21:00,-0.017062778
1/22/2023 22:00,-0.017178333
1/22/2023 23:00,-0.017227222
1/23/2023 0:00,-0.017252222
1/23/2023 1:00,-0.017253333
1/23/2023 2:00,-0.017252778
1/23/2023 3:00,-0.017304167
1/23/2023 4:00,-0.017295556
1/23/2023 5:00,-0.427550833
1/23/2023 6:00,-3.816398611
1/23/2023 7:00,-1.640056111
1/23/2023 8:00,-0.041297222
1/23/2023 9:00,0.038190278
1/23/2023 10:00,-4.176997222
1/23/2023 11:00,-5.503333333
1/23/2023 12:00,-2.022268611
1/23/2023 13:00,-2.5105575
1/23/2023 14:00,-3.507070278
1/23/2023 15:00,-6.47023
1/23/2023 16:00,-0.555379167
1/23/2023 17:00,-0.017011389
1/23/2023 18:00,-0.017013333
1/23/2023 19:00,-0.017129444
1/23/2023 20:00,-0.215113333
1/23/2023 21:00,-0.017146944
1/23/2023 22:00,-0.017249722
1/23/2023 23:00,-0.017314167
1/24/2023 0:00,-0.017368056
1/24/2023 1:00,-0.017381111
1/24/2023 2:00,-0.017358889
1/24/2023 3:00,-0.197343056
1/24/2023 4:00,-0.017340833
1/24/2023 5:00,-4.058073611
1/24/2023 6:00,-3.592543056
1/24/2023 7:00,-3.435434167
1/24/2023 8:00,-1.487879722
